Actual CPI value,Predicted CPI value,  Residuals
0.846938776,0.682491435,0.16444734
0.816326531,0.594508097,0.221818434
0.928571429,0.891847053,0.036724375
0.551020408,0.470986609,0.080033799
0.87755102,0.830900642,0.046650378
0.93877551,0.651606211,0.287169299
0.469387755,0.566322473,-0.096934718
0.816326531,0.64270432,0.173622211
0.612244898,0.54727493,0.064969968
0.704081633,0.470691536,0.233390096
0.43877551,0.738287866,-0.299512356
0.693877551,0.500196675,0.193680876
0.448979592,0.630867795,-0.181888203
0.775510204,0.504756212,0.270753992
0.275510204,0.519339271,-0.243829067
0.336734694,0.407566279,-0.070831585
0.928571429,0.802067226,0.126504203
0.734693878,0.78155441,-0.046860533
0.571428571,0.842147144,-0.270718573
0.571428571,0.611695364,-0.040266793
0.806122449,0.676050288,0.130072161
0.683673469,0.58436897,0.0993045
0.37755102,0.406940744,-0.029389724
0.734693878,0.673090041,0.061603837
0.642857143,0.694734701,-0.051877558
0.683673469,0.60953834,0.074135129
0.387755102,0.676229707,-0.288474605
0.93877551,0.857914283,0.080861228
0.826530612,0.770405166,0.056125446
0.357142857,0.354283687,0.00285917
0.846938776,0.748636583,0.098302193
0.265306122,0.565124908,-0.299818786
0.683673469,0.632888873,0.050784597
0.316326531,0.572949072,-0.256622542
0.714285714,0.586356236,0.127929478
0.93877551,0.85146738,0.08730813
0.948979592,0.82610305,0.122876542
0.826530612,0.657845036,0.168685576
0.683673469,0.406107923,0.277565546
0.704081633,0.605598677,0.098482955
0.183673469,0.419463427,-0.235789958
0.836734694,0.656830888,0.179903806
0.693877551,0.547085667,0.146791884
0.693877551,0.482486428,0.211391123
0.806122449,0.805780949,0.0003415
0.755102041,0.800629879,-0.045527838
0.775510204,0.633817149,0.141693055
0.908163265,0.804642169,0.103521096
0.663265306,0.802605266,-0.13933996
0.897959184,0.708574522,0.189384661
0.346938776,0.483181377,-0.136242602
0.316326531,0.701213186,-0.384886656
0.530612245,0.424543885,0.10606836
0.255102041,0.420753143,-0.165651102
0.744897959,0.678534772,0.066363187
0.928571429,0.725539335,0.203032094
0.387755102,0.331665204,0.056089898
0.214285714,0.663289459,-0.449003745
0.224489796,0.477899817,-0.253410021
0.346938776,0.441682285,-0.09474351
0.265306122,0.631219173,-0.36591305
0.908163265,0.643764457,0.264398808
0.846938776,0.852283787,-0.005345011
0.857142857,0.627674378,0.229468479
0.836734694,0.717650773,0.119083921
0.918367347,0.735652889,0.182714457
0.255102041,0.571059414,-0.315957374
0.387755102,0.592444302,-0.2046892
0.724489796,0.444696773,0.279793023
0.153061224,0.469837734,-0.316776509
0.908163265,0.928262855,-0.02009959
0.163265306,1.015074302,-0.851808996
0.918367347,0.824962489,0.093404858
0.510204082,0.609584828,-0.099380746
0.581632653,0.495262919,0.086369734
0.989795918,0.691395919,0.298399999
0.775510204,0.642513516,0.132996688
0.244897959,0.456523933,-0.211625974
0.755102041,0.666884189,0.088217852
0.918367347,0.61564588,0.302721467
0.744897959,0.437077981,0.307819978
0.581632653,0.591551387,-0.009918734
0.714285714,0.396413431,0.317872283
